자치구별,평수,평당가격,,면적,평,가격,최종가격
,,,,49.5,15,"23,000",1533.333333
,,,,49.5,15,"24,000",1600
,,,,34.44,10.43636364,"18,800",1801.393728
,,,,49.5,15,"24,600",1640
,,,,39.6,12,"17,600",1466.666667
,,,,49.5,15,"24,700",1646.666667
,,,,34.44,10.43636364,"17,300",1657.665505
,,,,39.6,12,"20,300",1691.666667
,,,,39.6,12,"20,000",1666.666667
,,,,39.6,12,"19,800",1650
,,,,34.44,10.43636364,"17,800",1705.574913
,,,,39.6,12,"20,550",1712.5
,,,,39.6,12,"20,200",1683.333333
,,,,49.5,15,"24,900",1660
,,,,34.44,10.43636364,"18,200",1743.902439
,,,,39.6,12,"20,950",1745.833333
,,,,34.44,10.43636364,"17,500",1676.829268
,,,,34.44,10.43636364,"17,800",1705.574913
,,,,34.44,10.43636364,"17,080",1636.585366
,,,,102.84,31.16363636,"31,000",994.7491249
,,,,84.71,25.66969697,"27,000",1051.82387
,,,,84.71,25.66969697,"32,000",1246.606068
,,,,131.7554,39.92587879,"53,500",1339.983029
,,,,81.2768,24.62933333,"40,800",1656.561282
,,,,81.2768,24.62933333,"40,000",1624.079688
,,,,72.8129,22.06451515,"36,000",1631.57902
,,,,81.2768,24.62933333,"41,000",1664.68168
,,,,72.8129,22.06451515,"38,600",1749.415282
,,,,81.3049,24.63784848,"40,500",1643.812366
,,,,81.2768,24.62933333,"35,000",1421.069727
,,,,131.7554,39.92587879,"52,000",1302.413412
,,,,81.2768,24.62933333,"40,500",1644.380684
,,,,72.8129,22.06451515,"37,000",1676.900659
,,,,117.168,35.50545455,"45,500",1281.49324
,,,,131.7554,39.92587879,"52,000",1302.413412
,,,,81.2768,24.62933333,"42,000",1705.283673
,,,,117.168,35.50545455,"44,000",1239.246211
,,,,81.2768,24.62933333,"40,500",1644.380684
,,,,131.7554,39.92587879,"50,000",1252.320588
,,,,131.7554,39.92587879,"50,500",1264.843794
,,,,81.2768,24.62933333,"40,500",1644.380684
,,,,72.8129,22.06451515,"37,500",1699.561479
,,,,81.2768,24.62933333,"42,800",1737.765266
,,,,81.3049,24.63784848,"43,800",1777.752632
,,,,81.2768,24.62933333,"42,800",1737.765266
,,,,72.8129,22.06451515,"38,500",1744.883118
,,,,81.2768,24.62933333,"40,000",1624.079688
,,,,81.2768,24.62933333,"37,500",1522.574708
,,,,72.8129,22.06451515,"37,700",1708.625807
,,,,59.99,18.17878788,"23,000",1265.210868
,,,,84.55,25.62121212,"29,000",1131.87463
,,,,59.99,18.17878788,"21,000",1155.192532
,,,,107.713,32.64030303,"40,400",1237.733607
,,,,84.996,25.75636364,"38,000",1475.363547
,,,,84.996,25.75636364,"37,900",1471.481011
,,,,84.929,25.73606061,"37,500",1457.09946
,,,,84.929,25.73606061,"34,400",1336.645904
,,,,84.996,25.75636364,"38,000",1475.363547
,,,,84.929,25.73606061,"36,900",1433.785868
,,,,84.996,25.75636364,"39,500",1533.601581
,,,,84.996,25.75636364,"38,000",1475.363547
,,,,84.996,25.75636364,"39,500",1533.601581
,,,,84.929,25.73606061,"38,800",1507.612241
,,,,59.59,18.05757576,"23,100",1279.241483
,,,,59.59,18.05757576,"26,900",1489.679476
,,,,59.59,18.05757576,"26,200",1450.914583
,,,,59.59,18.05757576,"26,500",1467.528109
,,,,84.99,25.75454545,"34,300",1331.803742
,,,,84.99,25.75454545,"34,200",1327.920932
,,,,59.59,18.05757576,"25,000",1384.46048
,,,,59.59,18.05757576,"26,300",1456.452425
,,,,59.59,18.05757576,"26,600",1473.065951
,,,,59.59,18.05757576,"27,200",1506.293002
,,,,59.59,18.05757576,"26,000",1439.838899
,,,,84.99,25.75454545,"34,800",1351.21779
,,,,84.99,25.75454545,"33,200",1289.092834
,,,,84.36,25.56363636,"26,000",1017.069701
,,,,76.81,23.27575758,"26,500",1138.52363
,,,,73.23,22.19090909,"25,000",1126.587464
,,,,73.23,22.19090909,"24,700",1113.068415
,,,,74.97,22.71818182,"25,200",1109.243697
,,,,49.6,15.03030303,"22,000",1463.709677
,,,,49.6,15.03030303,"22,000",1463.709677
,,,,59.96,18.16969697,"27,061",1489.347899
,,,,51.67,15.65757576,"22,000",1405.070641
,,,,49.6,15.03030303,"23,500",1563.508065
,,,,65.6,19.87878788,"31,000",1559.45122
,,,,49.6,15.03030303,"23,000",1530.241935
,,,,49.6,15.03030303,"24,000",1596.774194
,,,,49.6,15.03030303,"23,500",1563.508065
,,,,49.6,15.03030303,"23,500",1563.508065
,,,,49.6,15.03030303,"21,300",1417.137097
,,,,65.6,19.87878788,"31,000",1559.45122
,,,,65.6,19.87878788,"31,000",1559.45122
,,,,61.151,18.53060606,"31,500",1699.890435
,,,,60.502,18.33393939,"34,500",1881.755975
,,,,84.881,25.72151515,"38,800",1508.464792
,,,,84.881,25.72151515,"42,000",1632.874259
,,,,60.502,18.33393939,"33,600",1832.666689
,,,,60.502,18.33393939,"32,600",1778.123037
,,,,60.502,18.33393939,"33,950",1851.756967
,,,,60.502,18.33393939,"33,600",1832.666689
,,,,84.881,25.72151515,"41,500",1613.43528
,,,,84.881,25.72151515,"38,200",1485.138017
,,,,60.502,18.33393939,"33,300",1816.303593
,,,,84.881,25.72151515,"38,000",1477.362425
,,,,84.881,25.72151515,"40,500",1574.557321
,,,,84.881,25.72151515,"35,000",1360.728549
,,,,84.881,25.72151515,"40,900",1590.108505
,,,,61.151,18.53060606,"34,000",1834.802374
,,,,84.881,25.72151515,"39,500",1535.679363
,,,,84.881,25.72151515,"40,900",1590.108505
,,,,60.502,18.33393939,"32,600",1778.123037
,,,,61.151,18.53060606,"32,400",1748.458733
,,,,84.881,25.72151515,"41,700",1621.210872
,,,,84.881,25.72151515,"40,500",1574.557321
,,,,61.151,18.53060606,"34,300",1850.991807
,,,,84.881,25.72151515,"36,000",1399.606508
,,,,84.881,25.72151515,"41,200",1601.771892
,,,,84.881,25.72151515,"41,000",1593.996301
,,,,84.881,25.72151515,"40,800",1586.220709
,,,,84.881,25.72151515,"41,500",1613.43528
,,,,60.502,18.33393939,"34,000",1854.484149
,,,,84.881,25.72151515,"40,500",1574.557321
,,,,70.784,21.44969697,"36,500",1701.655741
,,,,84.881,25.72151515,"41,700",1621.210872
,,,,84.881,25.72151515,"43,900",1706.742381
,,,,84.881,25.72151515,"41,700",1621.210872
,,,,61.151,18.53060606,"34,000",1834.802374
,,,,84.881,25.72151515,"41,500",1613.43528
,,,,61.151,18.53060606,"33,200",1791.630554
,,,,61.151,18.53060606,"33,000",1780.837599
,,,,84.881,25.72151515,"40,200",1562.893934
,,,,84.881,25.72151515,"42,400",1648.425443
,,,,60.502,18.33393939,"32,000",1745.396846
,,,,60.502,18.33393939,"33,900",1849.029784
,,,,61.151,18.53060606,"34,000",1834.802374
,,,,56.55,17.13636364,"21,200",1237.135279
,,,,95.7,29,"32,500",1120.689655
,,,,60,18.18181818,"25,000",1375
,,,,60,18.18181818,"25,500",1402.5
,,,,56.55,17.13636364,"22,900",1336.339523
,,,,13.0588,3.957212121,"12,000",3032.437896
,,,,12.3536,3.743515152,"8,800",2350.73177
,,,,12.3536,3.743515152,"9,100",2430.870354
,,,,12.2372,3.708242424,"9,200",2480.959697
,,,,13.7456,4.165333333,"9,300",2232.714469
,,,,12.9188,3.914787879,"8,800",2247.886801
,,,,13.7456,4.165333333,"9,300",2232.714469
,,,,64.95,19.68181818,"23,350",1186.374134
,,,,61.82,18.73333333,"25,500",1361.209964
,,,,84.2985,25.545,"31,000",1213.544725
,,,,67.5682,20.47521212,"27,300",1333.31952
,,,,84.9076,25.72957576,"30,000",1165.973364
,,,,84.65,25.65151515,"37,300",1454.105139
,,,,84.83,25.70606061,"39,500",1536.602617
,,,,84.65,25.65151515,"38,900",1516.479622
,,,,84.65,25.65151515,"40,200",1567.15889
,,,,84.65,25.65151515,"36,500",1422.917897
,,,,84.83,25.70606061,"37,000",1439.349287
,,,,84.83,25.70606061,"36,000",1400.447955
,,,,84.65,25.65151515,"40,300",1571.057295
,,,,84.65,25.65151515,"37,500",1461.901949
,,,,84.83,25.70606061,"37,950",1476.305552
,,,,84.83,25.70606061,"39,250",1526.877284
,,,,84.65,25.65151515,"39,000",1520.378027
,,,,84.65,25.65151515,"37,000",1442.409923
,,,,84.83,25.70606061,"39,000",1517.151951
,,,,84.65,25.65151515,"39,200",1528.174838
,,,,84.65,25.65151515,"35,300",1376.137035
,,,,84.83,25.70606061,"40,000",1556.053283
,,,,84.65,25.65151515,"43,000",1676.314235
,,,,84.65,25.65151515,"35,250",1374.187832
,,,,84.65,25.65151515,"41,000",1598.346131
,,,,84.65,25.65151515,"38,500",1500.886001
,,,,84.65,25.65151515,"41,000",1598.346131
,,,,84.65,25.65151515,"38,900",1516.479622
,,,,84.65,25.65151515,"39,500",1539.870053
,,,,84.65,25.65151515,"38,900",1516.479622
,,,,84.65,25.65151515,"41,000",1598.346131
,,,,84.85,25.71212121,"37,300",1450.677666
,,,,84.9,25.72727273,"37,000",1438.162544
,,,,84.99,25.75454545,"42,800",1661.84257
,,,,84.9,25.72727273,"40,800",1585.865724
,,,,84.9,25.72727273,"42,000",1632.508834
,,,,84.9,25.72727273,"41,400",1609.187279
,,,,84.85,25.71212121,"38,800",1509.01591
,,,,84.9,25.72727273,"37,000",1438.162544
,,,,84.9,25.72727273,"41,500",1613.074205
,,,,84.9,25.72727273,"42,500",1651.943463
