시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,Latitude,Longitude,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 양천구 신월동,987-1,987,1,신월시영,43.2,202311,20,"45,000",9,1988,신월로 99,37.5179066,126.8340997,,,중개거래,서울 양천구
서울특별시 양천구 신월동,1026,1026,0,양천벽산블루밍1단지,59.99,202311,7,"56,000",1,2006,월정로9길 17,37.5243583,126.8394458,,,중개거래,서울 양천구
서울특별시 양천구 신월동,506-3,506,3,오진참사랑,84.94,202310,31,"53,500",5,2003,오목로 100-6,,,,,중개거래,서울 양천구
서울특별시 양천구 신정동,1198-23,1198,23,대성유니드1차,59.87,202311,4,"50,500",6,2004,중앙로29길 102,37.5204472,126.8491011,,,중개거래,서울 양천구
서울특별시 양천구 신정동,938-7,938,7,동원데쟈뷰,92.85,202310,27,"58,000",3,2002,오목로23길 31,37.5268034,126.8499903,,,중개거래,서울 양천구
서울특별시 양천구 신정동,1326,1326,0,래미안목동아델리체(1326),115.97,202311,7,"182,000",12,2021,중앙로43길 14,37.519372,126.852639,,,중개거래,서울 양천구
서울특별시 양천구 신정동,311,311,0,목동신시가지10,70.2,202311,1,"153,000",10,1987,목동서로 400,37.5174035,126.8586826,,,중개거래,서울 양천구
서울특별시 양천구 신정동,325,325,0,목동신시가지11,66.24,202311,23,"136,000",7,1988,목동동로 10,37.5120557,126.85841,,,중개거래,서울 양천구
서울특별시 양천구 신정동,326,326,0,목동신시가지12,71.64,202311,1,"147,000",3,1988,목동동로 50,37.5130364,126.8611326,,,중개거래,"서울 강서구, 서울 양천구"
서울특별시 양천구 신정동,326,326,0,목동신시가지12,71.64,202311,9,"142,000",15,1988,목동동로 50,37.5130364,126.8611326,,,중개거래,서울 양천구
서울특별시 양천구 신정동,327,327,0,목동신시가지13,124.55,202311,7,"216,000",5,1987,목동동로 100,37.5141907,126.8650029,,,중개거래,서울 양천구
서울특별시 양천구 신정동,327,327,0,목동신시가지13,70.73,202311,7,"148,000",10,1987,목동동로 100,37.5141907,126.8650029,,,중개거래,서울 양천구
서울특별시 양천구 신정동,329,329,0,목동신시가지14,55.02,202311,3,"122,000",9,1987,목동동로 130,37.5161905,126.8703376,,,중개거래,서울 양천구
서울특별시 양천구 신정동,314,314,0,목동신시가지8,54.94,202311,2,"130,000",13,1987,목동서로 280,37.5216265,126.8676568,,,중개거래,서울 양천구
서울특별시 양천구 신정동,314,314,0,목동신시가지8,54.94,202311,4,"126,000",10,1987,목동서로 280,37.5216265,126.8676568,,,중개거래,서울 양천구
서울특별시 양천구 신정동,312,312,0,목동신시가지9,53.82,202310,31,"127,500",13,1987,목동서로 340,37.5185416,126.8624047,,,중개거래,"서울 양천구, 인천 서구"
서울특별시 양천구 신정동,312,312,0,목동신시가지9,106.93,202311,14,"201,000",8,1987,목동서로 340,37.5185416,126.8624047,,,중개거래,서울 양천구
