시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,,1평,시군구,평당 평균 가격(만원),,시군구,전용면적(㎡),평수,거래금액(만원),평당 가격(만원),,,,,,,
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,83,201612,15,"80,000",35,2004,언주로30길 21,,,,,,서울특별시 강남구 도곡동,83,25.10753892,"80,000",3186.293976,,,,,,,
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,122.07,201612,23,"119,500",38,2004,언주로30길 21,,,,,,서울특별시 강남구 도곡동,122.07,36.92623224,"119,500",3236.181781,,,,,,,
서울특별시 강남구 도곡동,465,465,0,우성4,152.74,201612,6,"197,500",5,1985,언주로 117,,,,,,서울특별시 강남구 도곡동,152.74,46.20392162,"197,500",4274.528938,,,,,,,
서울특별시 강남구 도곡동,200-5,200,5,월드메르디앙102동,159.5,201612,19,"118,000",5,2005,남부순환로373길 14,,,,,,서울특별시 강남구 도곡동,159.5,48.24882479,"118,000",2445.655423,,,,,,,
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,120.78,201612,2,"142,000",42,2002,언주로30길 56,,,,,,서울특별시 강남구 도곡동,120.78,36.53600663,"142,000",3886.576917,,,,,,,
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.95,201612,16,"228,000",6,2002,언주로30길 56,,,,,,서울특별시 강남구 도곡동,164.95,49.89745234,"228,000",4569.371567,,,,,,,
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,174.67,201612,27,"264,000",33,2002,언주로30길 56,,,,,,서울특별시 강남구 도곡동,174.67,52.8377569,"264,000",4996.427091,,,,,,,
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,144.63,201612,1,"182,000",18,2003,언주로30길 57,,,,,,서울특별시 강남구 도곡동,144.63,43.75064281,"182,000",4159.938879,,,,,,,
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,144.63,201612,6,"188,000",16,2003,언주로30길 57,,,,,,서울특별시 강남구 도곡동,144.63,43.75064281,"188,000",4297.079721,,,,,,,
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,201612,19,"210,000",47,2003,언주로30길 57,,,,,,서울특별시 강남구 도곡동,164.99,49.90955236,"210,000",4207.61137,,,,,,,
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,115.63,201612,24,"153,000",23,2003,언주로30길 57,,,,,,서울특별시 강남구 도곡동,115.63,34.97812922,"153,000",4374.161896,,,,,,,
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,115.63,201612,31,"154,000",22,2003,언주로30길 57,,,,,,서울특별시 강남구 도곡동,115.63,34.97812922,"154,000",4402.751189,,,,,,,
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.381,201612,3,"194,000",32,2004,언주로30길 26,,,,,,서울특별시 강남구 도곡동,141.381,42.76781879,"194,000",4536.120978,,,,,,,
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,124.641,201612,7,"150,000",28,2004,언주로30길 26,,,,,,서울특별시 강남구 도곡동,124.641,37.70396094,"150,000",3978.361855,,,,,,,
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,163.567,201612,28,"198,000",27,2004,언주로30길 26,,,,,,서울특별시 강남구 도곡동,163.567,49.47909419,"198,000",4001.690072,,,,,,,
서울특별시 강남구 도곡동,972,972,0,한라비발디,84.88,201612,9,"90,000",7,2016,남부순환로365길 33,,,,,,서울특별시 강남구 도곡동,84.88,25.6762398,"90,000",3505.186145,,,,,,,
서울특별시 강남구 도곡동,972,972,0,한라비발디,84.95,201612,16,"94,500",18,2016,남부순환로365길 33,,,,,,서울특별시 강남구 도곡동,84.95,25.69741483,"94,500",3677.412713,,,,,,,
서울특별시 강남구 도곡동,895-8,895,8,한신엠비씨,58.46,201612,9,"69,800",5,1988,논현로 205,,,,,,서울특별시 강남구 도곡동,58.46,17.68417741,"69,800",3947.031201,,,,,,,
서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,33.1,201612,17,"28,000",19,1999,언주로30길 10,,,,,,서울특별시 강남구 도곡동,33.1,10.01276552,"28,000",2796.430211,,,,,,,
서울특별시 강남구 도곡동,153-2,153,2,현대향목빌라트,244.59,201612,26,"185,000",2,1996,남부순환로379길 26,,,,,,서울특별시 강남구 도곡동,244.59,73.98858968,"185,000",2500.385543,,,,,,,
서울특별시 강남구 도곡동,193-1,193,1,힐데스하임빌라,244.55,201612,23,"325,000",8,1998,남부순환로377길 26,,,,,,서울특별시 강남구 도곡동,244.55,73.97648966,"325,000",4393.287671,,,,,,,
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),48.81,201612,30,"45,700",9,2004,테헤란로63길 12,,,,,,서울특별시 강남구 삼성동,48.81,14.76504789,"45,700",3095.147429,,,,,,,
서울특별시 강남구 삼성동,33-20,33,20,대우멤버스카운티201,176.73,201612,19,"175,000",5,2004,봉은사로57길 37,,,,,,서울특별시 강남구 삼성동,176.73,53.46090786,"175,000",3273.419906,,,,,,,
서울특별시 강남구 삼성동,07월 03일,7,3,래미안삼성2차,101.38,201612,9,"125,600",2,2007,선릉로130길 20,,,,,,서울특별시 강남구 삼성동,101.38,30.66749753,"125,600",4095.541211,,,,,,,
서울특별시 강남구 삼성동,11,11,0,롯데캐슬프레미어,144.113,201612,20,"178,000",3,2007,선릉로126길 22,,,,,,서울특별시 강남구 삼성동,144.113,43.59425007,"178,000",4083.107284,,,,,,,
